Term,Type,Ontology,Synonyms,Definition,GeneratedDefinition,Examples,Explanations,Maturity
MITSUBISHI UFJ TRUST INTERNATIONAL LIMITED operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MIZUHO BANK EUROPE N.V. - SYSTEMATIC INTERNALISER,NamedIndividual,Markets Individuals,,,,,,release
MIZUHO BANK EUROPE N.V. - SYSTEMATIC INTERNALISER operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MIZUHO BANK LTD. - PARIS BRANCH - SYSTEMATIC INTERNALISER,NamedIndividual,Markets Individuals,,,,,,release
MIZUHO BANK LTD. - PARIS BRANCH - SYSTEMATIC INTERNALISER operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
"MIZUHO BANK, LTD. DUESSELDORF BRANCH - SYSTEMATIC INTERNALISER",NamedIndividual,Markets Individuals,,,,,,release
"MIZUHO BANK, LTD. DUESSELDORF BRANCH - SYSTEMATIC INTERNALISER operating-level market identifier",NamedIndividual,Markets Individuals,,,,,,release
"MIZUHO BANK, LTD. LONDON BRANCH - SYSTEMATIC INTERNALISER",NamedIndividual,Markets Individuals,,,,,,release
"MIZUHO BANK, LTD. LONDON BRANCH - SYSTEMATIC INTERNALISER operating-level market identifier",NamedIndividual,Markets Individuals,,,,,,release
MIZUHO INTERNAL CROSSING,NamedIndividual,Markets Individuals,,,,,,release
MIZUHO INTERNAL CROSSING operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MIZUHO INTERNATIONAL - SYSTEMATIC INTERNALISER,NamedIndividual,Markets Individuals,,,,,,release
MIZUHO INTERNATIONAL - SYSTEMATIC INTERNALISER operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MIZUHO SECURITIES EUROPE - SYSTEMATIC INTERNALISER,NamedIndividual,Markets Individuals,,,,,,release
MIZUHO SECURITIES EUROPE - SYSTEMATIC INTERNALISER operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MKD,NamedIndividual,ISO 4217-1 Currency Codes Ontology,,the currency identifier for Denar,,,,release
MMK,NamedIndividual,ISO 4217-1 Currency Codes Ontology,,the currency identifier for Kyat,,,,release
MN,NamedIndividual,U.S. Postal Service Addresses Individuals Ontology,,US-specific code for the designation for Minnesota,,,,release
MNT,NamedIndividual,ISO 4217-1 Currency Codes Ontology,,the currency identifier for Tugrik,,,,release
MO,NamedIndividual,U.S. Postal Service Addresses Individuals Ontology,,US-specific code for the designation for Missouri,,,,release
MOC CROSS,NamedIndividual,Markets Individuals,,,,,,release
MOC CROSS market segment-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MOLDOVA STOCK EXCHANGE,NamedIndividual,Markets Individuals,,,,,,release
MOLDOVA STOCK EXCHANGE operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MOMA,NamedIndividual,Business Centers Individuals,,,,,,release
MONGOLIAN STOCK EXCHANGE,NamedIndividual,Markets Individuals,,,,,,release
MONGOLIAN STOCK EXCHANGE operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MONTENEGRO STOCK EXCHANGE,NamedIndividual,Markets Individuals,,,,,,release
MONTENEGRO STOCK EXCHANGE operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MONTREAL CLIMATE EXCHANGE,NamedIndividual,Markets Individuals,,,,,,release
MONTREAL CLIMATE EXCHANGE operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MOP,NamedIndividual,ISO 4217-1 Currency Codes Ontology,,the currency identifier for Pataca,,,,release
MORGAN STANLEY AND CO. INTERNATIONAL PLC,NamedIndividual,Markets Individuals,,,,,,release
MORGAN STANLEY AND CO. INTERNATIONAL PLC - SYSTEMATIC INTERNALISER,NamedIndividual,Markets Individuals,,,,,,release
MORGAN STANLEY AND CO. INTERNATIONAL PLC - SYSTEMATIC INTERNALISER market segment-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MORGAN STANLEY AND CO. INTERNATIONAL PLC operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MORGAN STANLEY AND CO. LLC,NamedIndividual,Markets Individuals,,,,,,release
MORGAN STANLEY AND CO. LLC operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MORGAN STANLEY AUSTRALIA SECURITIES LIMITED,NamedIndividual,Markets Individuals,,,,,,release
MORGAN STANLEY AUSTRALIA SECURITIES LIMITED operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MORGAN STANLEY BANK INTERNATIONAL LIMITED,NamedIndividual,Markets Individuals,,,,,,release
MORGAN STANLEY BANK INTERNATIONAL LIMITED - SYSTEMATIC INTERNALISER,NamedIndividual,Markets Individuals,,,,,,release
MORGAN STANLEY BANK INTERNATIONAL LIMITED - SYSTEMATIC INTERNALISER market segment-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MORGAN STANLEY BANK INTERNATIONAL LIMITED operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MORGAN STANLEY EUROPE S.E.,NamedIndividual,Markets Individuals,,,,,,release
MORGAN STANLEY EUROPE S.E. - SYSTEMATIC INTERNALISER,NamedIndividual,Markets Individuals,,,,,,release
MORGAN STANLEY EUROPE S.E. - SYSTEMATIC INTERNALISER market segment-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MORGAN STANLEY EUROPE S.E. operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MORGAN STANLEY MTF - CONTINUOUS CROSS DARK,NamedIndividual,Markets Individuals,,,,,,release
MORGAN STANLEY MTF - CONTINUOUS CROSS DARK market segment-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MORGAN STANLEY MTF - NEGOTIATED TRADE,NamedIndividual,Markets Individuals,,,,,,release
MORGAN STANLEY MTF - NEGOTIATED TRADE market segment-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MORGAN STANLEY MTF - PERIODIC AUCTION,NamedIndividual,Markets Individuals,,,,,,release
MORGAN STANLEY MTF - PERIODIC AUCTION operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
"MORGAN STANLEY MUFG SECURITIES CO., LTD",NamedIndividual,Markets Individuals,,,,,,release
"MORGAN STANLEY MUFG SECURITIES CO., LTD operating-level market identifier",NamedIndividual,Markets Individuals,,,,,,release
MOSCOW ENERGY EXCHANGE,NamedIndividual,Markets Individuals,,,,,,release
MOSCOW ENERGY EXCHANGE operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MOSCOW EXCHANGE - ALL MARKETS,NamedIndividual,Markets Individuals,,,,,,release
MOSCOW EXCHANGE - ALL MARKETS operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MOSCOW EXCHANGE - DERIVATIVES MARKET,NamedIndividual,Markets Individuals,,,,,,release
MOSCOW EXCHANGE - DERIVATIVES MARKET market segment-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MOZAMBIQUE STOCK  EXCHANGE,NamedIndividual,Markets Individuals,,,,,,release
MOZAMBIQUE STOCK  EXCHANGE operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MP,NamedIndividual,U.S. Postal Service Addresses Individuals Ontology,,US-specific code for the designation for the outlying area of Northern Mariana Islands,,,,release
MRU,NamedIndividual,ISO 4217-1 Currency Codes Ontology,,the currency identifier for Ouguiya,,,,release
MS,NamedIndividual,U.S. Postal Service Addresses Individuals Ontology,,US-specific code for the designation for Mississippi,,,,release
MS POOL,NamedIndividual,Markets Individuals,,,,,,release
MS POOL market segment-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MS RPOOL,NamedIndividual,Markets Individuals,,,,,,release
MS RPOOL market segment-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MS TRAJECTORY CROSS,NamedIndividual,Markets Individuals,,,,,,release
MS TRAJECTORY CROSS market segment-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MT,NamedIndividual,U.S. Postal Service Addresses Individuals Ontology,,US-specific code for the designation for Montana,,,,release
MTF - CYPRUS EXCHANGE,NamedIndividual,Markets Individuals,,,,,,release
MTF - CYPRUS EXCHANGE market segment-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MTF SOFIA,NamedIndividual,Markets Individuals,,,,,,release
MTF SOFIA operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MTS ASSOCIATED MARKETS,NamedIndividual,Markets Individuals,,,,,,release
MTS ASSOCIATED MARKETS operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MTS BELGIUM,NamedIndividual,Markets Individuals,,,,,,release
MTS BELGIUM market segment-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MTS BONDS.COM,NamedIndividual,Markets Individuals,,,,,,release
MTS BONDS.COM market segment-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MTS CASH DOMESTIC - MTF,NamedIndividual,Markets Individuals,,,,,,release
MTS CASH DOMESTIC - MTF market segment-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MTS DENMARK,NamedIndividual,Markets Individuals,,,,,,release
MTS DENMARK market segment-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MTS FINLAND,NamedIndividual,Markets Individuals,,,,,,release
MTS FINLAND market segment-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MTS FRANCE SAS,NamedIndividual,Markets Individuals,,,,,,release
MTS FRANCE SAS operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MTS ITALIA,NamedIndividual,Markets Individuals,,,,,,release
MTS ITALIA market segment-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MTS MARKETS INTERNATIONAL INC.,NamedIndividual,Markets Individuals,,,,,,release
MTS MARKETS INTERNATIONAL INC. operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MTS S.P.A.,NamedIndividual,Markets Individuals,,,,,,release
MTS S.P.A. operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MTS UK,NamedIndividual,Markets Individuals,,,,,,release
MTS UK market segment-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MTVA,NamedIndividual,Business Centers Individuals,,,,,,release
MUFG BANK (EUROPE) N.V. - SYSTEMATIC INTERNALISER,NamedIndividual,Markets Individuals,,,,,,release
MUFG BANK (EUROPE) N.V. - SYSTEMATIC INTERNALISER operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
"MUFG BANK, LTD. - LONDON BRANCH -SYSTEMATIC INTERNALISER",NamedIndividual,Markets Individuals,,,,,,release
"MUFG BANK, LTD. - LONDON BRANCH -SYSTEMATIC INTERNALISER operating-level market identifier",NamedIndividual,Markets Individuals,,,,,,release
"MUFG BANK, LTD. - MILANO BRANCH - SYSTEMATIC INTERNALISER",NamedIndividual,Markets Individuals,,,,,,release
"MUFG BANK, LTD. - MILANO BRANCH - SYSTEMATIC INTERNALISER operating-level market identifier",NamedIndividual,Markets Individuals,,,,,,release
"MUFG BANK, LTD. - PARIS BRANCH - SYSTEMATIC INTERNALISER",NamedIndividual,Markets Individuals,,,,,,release
"MUFG BANK, LTD. - PARIS BRANCH - SYSTEMATIC INTERNALISER operating-level market identifier",NamedIndividual,Markets Individuals,,,,,,release
MUFG SECURITIES (EUROPE) N.V -,NamedIndividual,Markets Individuals,,,,,,release
MUFG SECURITIES (EUROPE) N.V - operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MUFG SECURITIES EMEA PLC - SYSTEMATIC INTERNALISER,NamedIndividual,Markets Individuals,,,,,,release
MUFG SECURITIES EMEA PLC - SYSTEMATIC INTERNALISER operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MULTI COMMODITY EXCHANGE OF INDIA LTD.,NamedIndividual,Markets Individuals,,,,,,release
MULTI COMMODITY EXCHANGE OF INDIA LTD. operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MUPL,NamedIndividual,Business Centers Individuals,,,,,,release
MUR,NamedIndividual,ISO 4217-1 Currency Codes Ontology,,the currency identifier for Mauritius Rupee,,,,release
MUSCAT SECURITIES MARKET,NamedIndividual,Markets Individuals,,,,,,release
MUSCAT SECURITIES MARKET operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MVMA,NamedIndividual,Business Centers Individuals,,,,,,release
MVR,NamedIndividual,ISO 4217-1 Currency Codes Ontology,,the currency identifier for Rufiyaa,,,,release
MWK,NamedIndividual,ISO 4217-1 Currency Codes Ontology,,the currency identifier for Malawi Kwacha,,,,release
MWLI,NamedIndividual,Business Centers Individuals,,,,,,release
MXMC,NamedIndividual,Business Centers Individuals,,,,,,release
MXN,NamedIndividual,ISO 4217-1 Currency Codes Ontology,,the currency identifier for Mexican Peso,,,,release
MXN-TIIE-Banxico,NamedIndividual,Common Interest Rates Ontology,,the FpML floating interest index for the MXN-TIIE-Banxico,,,"Per 2006 ISDA Definitions or Annex to the 2000 ISDA Definitions, Section 7.1 Rate Options, as amended and supplemented through the date on which parties enter into the relevant transaction.",release
MXN-TIIE-Banxico-Bloomberg,NamedIndividual,Common Interest Rates Ontology,,the FpML floating interest index for the MXN-TIIE-Banxico-Bloomberg,,,"Per 2006 ISDA Definitions or Annex to the 2000 ISDA Definitions, Section 7.1 Rate Options, as amended and supplemented through the date on which parties enter into the relevant transaction.",release
MXN-TIIE-Banxico-Reference Banks,NamedIndividual,Common Interest Rates Ontology,,the FpML floating interest index for the MXN-TIIE-Banxico-Reference Banks,,,"Per 2006 ISDA Definitions or Annex to the 2000 ISDA Definitions, Section 7.1 Rate Options, as amended and supplemented through the date on which parties enter into the relevant transaction.",release
MXV,NamedIndividual,ISO 4217-1 Currency Codes Ontology,,the funds identifier for Mexican Unidad de Inversion (UDI),,,,release
MYKL,NamedIndividual,Business Centers Individuals,,,,,,release
MYLA,NamedIndividual,Business Centers Individuals,,,,,,release
MYR,NamedIndividual,ISO 4217-1 Currency Codes Ontology,,the currency identifier for Malaysian Ringgit,,,,release
MYR-KLIBOR-BNM,NamedIndividual,Common Interest Rates Ontology,,the FpML floating interest index for the MYR-KLIBOR-BNM,,,"Per 2006 ISDA Definitions or Annex to the 2000 ISDA Definitions, Section 7.1 Rate Options, as amended and supplemented through the date on which parties enter into the relevant transaction.",release
MYR-KLIBOR-Reference Banks,NamedIndividual,Common Interest Rates Ontology,,the FpML floating interest index for the MYR-KLIBOR-Reference Banks,,,"Per 2006 ISDA Definitions or Annex to the 2000 ISDA Definitions, Section 7.1 Rate Options, as amended and supplemented through the date on which parties enter into the relevant transaction.",release
MYR-Quarterly Swap Rate-11:00-TRADITION,NamedIndividual,Common Interest Rates Ontology,,the FpML floating interest index for the MYR-Quarterly Swap Rate-11:00-TRADITION,,,"Per 2006 ISDA Definitions or Annex to the 2000 ISDA Definitions, Section 7.1 Rate Options, as amended and supplemented through the date on which parties enter into the relevant transaction.",release
MYR-Quarterly Swap Rate-TRADITION-Reference Banks,NamedIndividual,Common Interest Rates Ontology,,the FpML floating interest index for the MYR-Quarterly Swap Rate-TRADITION-Reference Banks,,,"Per 2006 ISDA Definitions or Annex to the 2000 ISDA Definitions, Section 7.1 Rate Options, as amended and supplemented through the date on which parties enter into the relevant transaction.",release
MYTREASURY,NamedIndividual,Markets Individuals,,,,,,release
MYTREASURY operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MZN,NamedIndividual,ISO 4217-1 Currency Codes Ontology,,the currency identifier for Mozambique Metical,,,,release
Macao entity,NamedIndividual,Eastern Asia Government Entities and Jurisdictions Ontology,,regional sovereignty and polity that is Macao,,,,release
Macau,NamedIndividual,Business Centers Individuals,,,,,,release
Madras,NamedIndividual,Business Centers Individuals,,,,,,release
